accession	genome_lineage	hedgehog_set_hash	hedgehog_precision	id	pct
EPI_ISL_11413071	BA.1.1	BA.1.1	BA.1.1_3	CA-TCPHL-030222-02|EPI_ISL_11413071|USA|BA.1.1|2022-02-22	99.6374737645487
EPI_ISL_11413349	BA.1.1	BA.1.1	BA.1.1_2	NY-URMC-22034818-1|EPI_ISL_11413349|USA|BA.1.1|2022-03-12	96.0312917382179
EPI_ISL_11413805	BA.2.2	BA.2.2	BA.2.2	HKU-220326-071|EPI_ISL_11413805|Hong Kong|BA.2.2|2022-02-08	99.8091967181836
EPI_ISL_11414283	BA.1.1	BA.1.1	BA.1.1_2	MA-NEIDL-04900|EPI_ISL_11414283|USA|BA.1.1|2022-02-12	96.6800228963938
EPI_ISL_11416895	BA.2.9	A	A_17	PLYM-3B80D3A|EPI_ISL_11416895|United Kingdom|BA.2.9|2022-03-19	99.8091967181836
EPI_ISL_11418478	BA.2	BA.2	BA.2_1	LSPA-3B7B558|EPI_ISL_11418478|United Kingdom|BA.2|2022-03-19	99.8091967181836
EPI_ISL_11418999	BA.1.1	BA.1.1	BA.1.1_2	LSPA-3B82020|EPI_ISL_11418999|United Kingdom|BA.1.1|2022-03-20	99.6374737645487
EPI_ISL_11423206	BA.2	BA.2	BA.2_1	LSPA-3B6F0DE|EPI_ISL_11423206|United Kingdom|BA.2|2022-03-19	99.8091967181836
EPI_ISL_11423298	BA.2	A	A_14	LSPA-3B70D88|EPI_ISL_11423298|United Kingdom|BA.2|2022-03-18	99.8091967181836
EPI_ISL_11425101	BA.2.49	A	A_17	ARA-HCL722001365801|EPI_ISL_11425101|France|BA.2.49|2022-03-07	99.8091967181836
EPI_ISL_11425935	BA.2	A	A_14	ULB-IBC_CV8422929524|EPI_ISL_11425935|Belgium|BA.2|2022-03-20	99.7901163900019
EPI_ISL_11427414	BA.2	A	A_14	UT-UPHL-220324498088|EPI_ISL_11427414|USA|BA.2|2022-03-02	99.8091967181836
EPI_ISL_11428663	BA.2	A	A_14	LSPA-3BB76F3|EPI_ISL_11428663|United Kingdom|BA.2|2022-03-21	99.8091967181836
EPI_ISL_11428689	BA.2.9	BA.2	BA.2_1	LSPA-3BB7541|EPI_ISL_11428689|United Kingdom|BA.2.9|2022-03-21	99.8091967181836
EPI_ISL_11431440	BA.1.1.14	BA.1.1	BA.1.1_2	QEUH-3B9FB89|EPI_ISL_11431440|United Kingdom|BA.1.1.14|2022-03-19	99.6374737645487
EPI_ISL_11432615	BA.2.10	A	A_14	LSPA-3B925F1|EPI_ISL_11432615|United Kingdom|BA.2.10|2022-03-19	99.8091967181836
EPI_ISL_11432782	BA.2	BA.2	BA.2_1	BRBR-3B926FE|EPI_ISL_11432782|United Kingdom|BA.2|2022-03-19	99.8091967181836
EPI_ISL_11433618	BA.2	A	A_17	BRBR-3B9D295|EPI_ISL_11433618|United Kingdom|BA.2|2022-03-19	99.8091967181836
EPI_ISL_11433646	BA.2	BA.2	BA.2_1	LSPA-3B9CDB3|EPI_ISL_11433646|United Kingdom|BA.2|2022-03-19	99.8091967181836
EPI_ISL_11434707	BA.1.1	BA.1.1	BA.1.1_3	LSPA-3B97B63|EPI_ISL_11434707|United Kingdom|BA.1.1|2022-03-20	99.6374737645487
EPI_ISL_11435892	BA.1.1.18	BA.1.1	BA.1.1_3	CO-CDPHE-2103024564|EPI_ISL_11435892|USA|BA.1.1.18|2022-03-03	87.0444571646632
EPI_ISL_11436236	BA.1.15	BA.1	BA.1_4	CO-CDPHE-2102759519|EPI_ISL_11436236|USA|BA.1.15|2022-01-20	97.7866819309292
EPI_ISL_11443244	BA.2.9	A	A_17	DCGC-446128|EPI_ISL_11443244|Denmark|BA.2.9|2022-03-20	99.8091967181836
EPI_ISL_11443961	BA.2.14	A	A_17	DCGC-446792|EPI_ISL_11443961|Denmark|BA.2.14|2022-03-20	99.7901163900019
EPI_ISL_11444533	BA.2	A	A_14	DCGC-447363|EPI_ISL_11444533|Denmark|BA.2|2022-03-20	99.5229917954589
EPI_ISL_11448213	BA.2.10	A	A_14	LSPA-3BAE9E7|EPI_ISL_11448213|United Kingdom|BA.2.10|2022-03-21	99.8091967181836
EPI_ISL_11449685	BA.1	BA.1.15	BA.1.15	NIC_PKT_SEQ9511|EPI_ISL_11449685|Thailand|BA.1|2022-01-14	81.1104751001717
EPI_ISL_11451057	BA.2	A	A_14	NW-RKI-I-609217|EPI_ISL_11451057|Germany|BA.2|2022-03-05	99.8091967181836
EPI_ISL_11453923	BA.2	A	A_17	SH-RKI-I-612268|EPI_ISL_11453923|Germany|BA.2|2022-02-28	99.8091967181836
EPI_ISL_11454294	BA.2	BA.2	BA.2_1	NW-RKI-I-612875|EPI_ISL_11454294|Germany|BA.2|2022-03-08	99.8091967181836
EPI_ISL_11454501	BA.1.1	BA.1.1	BA.1.1_2	NW-RKI-I-613058|EPI_ISL_11454501|Germany|BA.1.1|2022-03-08	99.6374737645487
EPI_ISL_11455229	BA.2	A	A_17	SH-RKI-I-614473|EPI_ISL_11455229|Germany|BA.2|2022-03-05	96.8899065063919
EPI_ISL_11457178	BA.1.1.1	BA.1.1	BA.1.1_3	BW-RKI-I-615919|EPI_ISL_11457178|Germany|BA.1.1.1|2022-02-17	99.3131081854608
EPI_ISL_11464353	BA.2	A	A_14	BW-RKI-I-621529|EPI_ISL_11464353|Germany|BA.2|2022-03-05	99.8091967181836
EPI_ISL_11466500	BA.2	A	A_14	NORT-YNNQSGH|EPI_ISL_11466500|United Kingdom|BA.2|2022	99.8091967181836
EPI_ISL_11466534	BA.2.9	A	A_17	BY-RKI-I-623566|EPI_ISL_11466534|Germany|BA.2.9|2022-03-03	99.8091967181836
EPI_ISL_11468698	BA.1.1	BA.1.15	BA.1.15	NI-RKI-I-625655|EPI_ISL_11468698|Germany|BA.1.1|2022-03-04	75.6916618965846
EPI_ISL_11469294	BA.2	BA.2	BA.2_1	BE-RKI-I-626588|EPI_ISL_11469294|Germany|BA.2|2022-02-22	99.7137950772753
EPI_ISL_11469787	BA.1	BA.1.15	BA.1.15	PHEC-5X0A1Z4C|EPI_ISL_11469787|United Kingdom|BA.1|2022	98.1682884945621
EPI_ISL_11470877	BA.2	A	A_14	BW-RKI-I-628015|EPI_ISL_11470877|Germany|BA.2|2022-03-08	99.8091967181836
EPI_ISL_11471089	BA.1.18	BA.1	BA.1_4	NW-RKI-I-628162|EPI_ISL_11471089|Germany|BA.1.18|2022-03-01	99.5229917954589
EPI_ISL_11471205	BA.2	A	A_17	BY-RKI-I-628291|EPI_ISL_11471205|Germany|BA.2|2022-03-07	99.8091967181836
EPI_ISL_11472687	BA.2	BA.2	BA.2_1	BW-RKI-I-629153|EPI_ISL_11472687|Germany|BA.2|2022-03-09	95.1726769700439
EPI_ISL_11472773	BA.1.1	BA.1.1	BA.1.1_3	NW-RKI-I-629229|EPI_ISL_11472773|Germany|BA.1.1|2022-03-09	99.6374737645487
EPI_ISL_11473759	BA.1.21	BA.1.15	BA.1.15	NW-RKI-I-630030|EPI_ISL_11473759|Germany|BA.1.21|2022-03-05	99.6374737645487
EPI_ISL_11474811	BA.2.5	BA.2	BA.2_1	ST-RKI-I-631339|EPI_ISL_11474811|Germany|BA.2.5|2022-03-07	94.7529097500477
EPI_ISL_11475475	BA.2.9	A	A_17	BB-RKI-I-632324|EPI_ISL_11475475|Germany|BA.2.9|2022-03-10	93.2646441518794
EPI_ISL_11476123	BA.2	A	A_17	BB-RKI-I-633012|EPI_ISL_11476123|Germany|BA.2|2022-03-11	99.8091967181836
EPI_ISL_11477026	BA.2.3	BA.2	BA.2_1	NI-RKI-I-633876|EPI_ISL_11477026|Germany|BA.2.3|2022-03-08	95.2108376264072
EPI_ISL_11477192	BA.1.1	BA.1.1	BA.1.1_3	PHEC-YYDQ9HJ|EPI_ISL_11477192|United Kingdom|BA.1.1|2022-03-09	99.6374737645487
EPI_ISL_11478399	BA.2.9	A	A_17	NW-RKI-I-635051|EPI_ISL_11478399|Germany|BA.2.9|2022-03-15	99.8091967181836
EPI_ISL_11482040	BA.2.9	A	A_17	PHEC-YYDXDMG|EPI_ISL_11482040|United Kingdom|BA.2.9|2022-03-14	99.7901163900019
EPI_ISL_11482237	BA.2	A	A_14	BW-RKI-I-639059|EPI_ISL_11482237|Germany|BA.2|2022-02-14	98.5117344018317
EPI_ISL_11482892	BA.1	BA.1.15	BA.1.15	BW-RKI-I-639593|EPI_ISL_11482892|Germany|BA.1|2022-02-14	99.6374737645487
EPI_ISL_11483746	BA.2.9	A	A_17	BW-RKI-I-640301|EPI_ISL_11483746|Germany|BA.2.9|2022-02-14	98.5117344018317
EPI_ISL_11484329	BA.1.1	BA.1.1	BA.1.1_2	BW-RKI-I-640659|EPI_ISL_11484329|Germany|BA.1.1|2022-03-03	90.8986834573555
EPI_ISL_11484909	BA.1.1	BA.1.1	BA.1.1_2	TH-RKI-I-641121|EPI_ISL_11484909|Germany|BA.1.1|2022-02-03	99.6183934363671
EPI_ISL_11485229	BA.1.1	BA.1	BA.1_4	BY-RKI-I-641340|EPI_ISL_11485229|Germany|BA.1.1|2022-01-24	95.5352032054951
EPI_ISL_11487689	BA.1.1	BA.1.1	BA.1.1_2	WI-UW-9909|EPI_ISL_11487689|USA|BA.1.1|2022-03-11	99.6374737645487
EPI_ISL_11488480	BA.1.1.1	BA.1.1	BA.1.1_3	WI-CDC-ASC210734496|EPI_ISL_11488480|USA|BA.1.1.1|2022-03-11	99.6374737645487
EPI_ISL_11489007	BA.2.9	A	A_17	01_SE100_22CS503968|EPI_ISL_11489007|Sweden|BA.2.9|2022-03-16	99.7901163900019
EPI_ISL_11491941	BA.2	A	A_14	PHEP-YYRXI9K|EPI_ISL_11491941|United Kingdom|BA.2|2022-03-11	99.8091967181836
EPI_ISL_11493816	BA.2	BA.2	BA.2_1	PHWC-PJFCDB|EPI_ISL_11493816|United Kingdom|BA.2|2022-03-09	99.8091967181836
EPI_ISL_11494453	BA.1.1.1	BA.1.1	BA.1.1_3	PHWC-PJFPCQ|EPI_ISL_11494453|United Kingdom|BA.1.1.1|2022-03-08	99.6374737645487
EPI_ISL_11500412	BA.1.1	BA.1.1	BA.1.1_2	ON-PHL-22-13994|EPI_ISL_11500412|Canada|BA.1.1|2022-03-16	87.5214653692043
EPI_ISL_11509860	BA.2	A	A_14	HDF-CERBAHC-03651837|EPI_ISL_11509860|France|BA.2|2022-03-14	99.8091967181836
EPI_ISL_11515047	BA.2.3	A	A_14	7122067042|EPI_ISL_11515047|Brunei|BA.2.3|2022-03-05	95.9931310818546
EPI_ISL_11516646	BA.2.12	BA.2.12	BA.2.12	NORT-YNNX54C|EPI_ISL_11516646|United Kingdom|BA.2.12|2022	99.8091967181836
EPI_ISL_11518659	BA.2	A	A_17	DCGC-450649|EPI_ISL_11518659|Denmark|BA.2|2022-03-21	99.9618393436367
EPI_ISL_11519974	BA.2	A	A_17	DCGC-451765|EPI_ISL_11519974|Denmark|BA.2|2022-03-22	99.9809196718184
EPI_ISL_11520225	BA.2	BA.2.10	BA.2.10	DCGC-451941|EPI_ISL_11520225|Denmark|BA.2|2022-03-22	99.7901163900019
EPI_ISL_11520710	BA.2	BA.2	BA.2_1	PHEC-YYDTF9S|EPI_ISL_11520710|United Kingdom|BA.2|2022-03-14	99.7901163900019
EPI_ISL_11522478	BA.2.9	BA.2	BA.2_1	3295437164|EPI_ISL_11522478|Sweden|BA.2.9|2022-03-12	90.4025949246327
EPI_ISL_11528881	BA.2	BA.2	BA.2_1	VD-CHUV-GEN11158|EPI_ISL_11528881|Switzerland|BA.2|2022-03-16	99.8091967181836
EPI_ISL_11530494	BA.2.10.1	BA.2.10.1	BA.2.10.1	VA-CDC-LC0564223|EPI_ISL_11530494|USA|BA.2.10.1|2022-03-16	99.8091967181836
EPI_ISL_11531409	BA.1.1	BA.1.1	BA.1.1_2	UT-UPHL-220326827100|EPI_ISL_11531409|USA|BA.1.1|2022-01-22	99.6374737645487
EPI_ISL_11531437	BA.1.15	BA.1	BA.1_3	UT-UPHL-220326204908|EPI_ISL_11531437|USA|BA.1.15|2022-01-24	99.6374737645487
EPI_ISL_11532313	BA.2	BA.2	BA.2_1	AZDelta-2212-04343|EPI_ISL_11532313|Belgium|BA.2|2022-03-24	95.325319595497
EPI_ISL_11533627	BA.1.17	BA.1.15	BA.1.15	VA_FBCH_2302|EPI_ISL_11533627|USA|BA.1.17|2022-01-20	99.6374737645487
EPI_ISL_11534691	BA.1.1	BA.1.1	BA.1.1_2	CA-SEARCH-80021|EPI_ISL_11534691|USA|BA.1.1|2022-01-06	99.4275901545507
EPI_ISL_11534905	BA.1.1	BA.1.1	BA.1.1_2	CA-SEARCH-80241|EPI_ISL_11534905|USA|BA.1.1|2022-01-08	99.4848311390956
EPI_ISL_11535201	BA.1.1	BA.1.1	BA.1.1_2	CA-SEARCH-80542|EPI_ISL_11535201|USA|BA.1.1|2022-01-08	99.4848311390956
EPI_ISL_11535216	BA.1.15	BA.1.15	BA.1.15	CA-SEARCH-80557|EPI_ISL_11535216|USA|BA.1.15|2022-01-08	99.4848311390956
EPI_ISL_11535989	BA.1.1.2	BA.1.1	BA.1.1_3	TKYkbm12681|EPI_ISL_11535989|Japan|BA.1.1.2|2022-03-05	99.6374737645487
EPI_ISL_11536004	BA.1.1.2	BA.1.1	BA.1.1_3	TKYkbm12696|EPI_ISL_11536004|Japan|BA.1.1.2|2022-03-05	99.6374737645487
EPI_ISL_11536182	BA.1.1.2	BA.1.1	BA.1.1_2	TKYkbm11995|EPI_ISL_11536182|Japan|BA.1.1.2|2022-03-01	99.6374737645487
EPI_ISL_11536201	BA.1.1	BA.1.1	BA.1.1_3	TKYkbm12014|EPI_ISL_11536201|Japan|BA.1.1|2022-03-01	99.6374737645487
EPI_ISL_11536335	BA.1.1.2	BA.1.1	BA.1.1_1	SZ-NIG-Y213493|EPI_ISL_11536335|Japan|BA.1.1.2|2022-02-09	99.6374737645487
EPI_ISL_11536577	BA.1.1.2	BA.1.1	BA.1.1_3	SZ-NIG-4-C4531|EPI_ISL_11536577|Japan|BA.1.1.2|2022-02-20	99.6374737645487
EPI_ISL_11537484	BA.1.18	BA.1.15	BA.1.15	CO-CDPHE-2103057666|EPI_ISL_11537484|USA|BA.1.18|2022-01-20	90.9750047700821
EPI_ISL_11537673	BA.1.1	BA.1.1	BA.1.1_2	MS-SRL_331298982|EPI_ISL_11537673|USA|BA.1.1|2022-01-03	99.6374737645487
EPI_ISL_11538374	BA.1	BA.1.15	BA.1.15	CO-CDPHE-2103061872|EPI_ISL_11538374|USA|BA.1|2022-01-16	70.3873306620874
EPI_ISL_11539108	BA.1	A	A_1	CO-CDPHE-2103047581|EPI_ISL_11539108|USA|BA.1|2022-03-11	28.0099217706545
EPI_ISL_11541992	BA.2.10.1	BA.2.10.1	BA.2.10.1	KA-SLS-SEQ-29174|EPI_ISL_11541992|India|BA.2.10.1|2022-01	97.7676016027476
EPI_ISL_11542403	BA.1	BA.1.1	BA.1.1_2	NICD-N30901|EPI_ISL_11542403|South Africa|BA.1|2022-01-27	74.165235642053
EPI_ISL_11543693	BA.2	BA.2	BA.2_1	LSPA-3C05CC6|EPI_ISL_11543693|United Kingdom|BA.2|2022-03-22	99.8091967181836
EPI_ISL_11543732	BA.2	BA.2	BA.2_1	LSPA-3C06B22|EPI_ISL_11543732|United Kingdom|BA.2|2022-03-23	99.8091967181836
EPI_ISL_11543891	BA.2	A	A_14	LSPA-3C0FC26|EPI_ISL_11543891|United Kingdom|BA.2|2022-03-23	99.8091967181836
EPI_ISL_11545304	BA.1.1	BA.2	BA.2_1	LSPA-3C24D28|EPI_ISL_11545304|United Kingdom|BA.1.1|2022-03-24	99.0841442472811
EPI_ISL_11545801	BA.2.18	BA.2.18	BA.2.18	LSPA-3BFF7FC|EPI_ISL_11545801|United Kingdom|BA.2.18|2022-03-22	99.8091967181836
EPI_ISL_11546466	BA.1.1	BA.1.1	BA.1.1_3	151837|EPI_ISL_11546466|Slovenia|BA.1.1|2022-02-01	99.4275901545507
EPI_ISL_11549039	BA.2	A	A_17	DCGC-452300|EPI_ISL_11549039|Denmark|BA.2|2022-03-24	99.7519557336386
EPI_ISL_11551215	BA.2.1	BA.2	BA.2_1	LSPA-3C0B4AA|EPI_ISL_11551215|United Kingdom|BA.2.1|2022-03-22	99.8091967181836
EPI_ISL_11554402	BA.2	A	A_17	DCGC-453860|EPI_ISL_11554402|Denmark|BA.2|2022-03-24	99.8091967181836
EPI_ISL_11558183	BA.2	A	A_17	QEUH-3BA4DC7|EPI_ISL_11558183|United Kingdom|BA.2|2022-03-19	99.8091967181836
EPI_ISL_11558618	BA.2	A	A_14	PHEP-YYROAHK|EPI_ISL_11558618|United Kingdom|BA.2|2022-03-12	99.7901163900019
EPI_ISL_11558787	BA.2	A	A_14	PHEP-YYROJ9U|EPI_ISL_11558787|United Kingdom|BA.2|2022-03-14	99.8091967181836
EPI_ISL_11564472	BA.2	BA.2	BA.2_1	UMB-IZSGC-31858-1-55|EPI_ISL_11564472|Italy|BA.2|2022-03-21	99.8091967181836
EPI_ISL_11565153	BA.2.36	BA.2	BA.2_2	CHUNamur14095535|EPI_ISL_11565153|Belgium|BA.2.36|2022-03-23	99.8091967181836
EPI_ISL_11565938	BA.2.10	A	A_14	CA-CDPH-3000306064|EPI_ISL_11565938|USA|BA.2.10|2022-02-01	86.9108948673917
EPI_ISL_11565958	BA.1.1	BA.1.1	BA.1.1_2	CA-CDPH-3000330234|EPI_ISL_11565958|USA|BA.1.1|2022-02-02	78.2865865292883
EPI_ISL_11568234	BA.1	BA.1	BA.1_4	CA-CDPH-3000328520|EPI_ISL_11568234|USA|BA.1|2022-02-02	88.7616867010113
EPI_ISL_11570851	BA.2.7	A	A_17	FL-CDC-ASC210736140|EPI_ISL_11570851|USA|BA.2.7|2022-03-16	99.8091967181836
EPI_ISL_11571346	BA.1.1	BA.1.1	BA.1.1_2	IL-CDC-ASC210845636|EPI_ISL_11571346|USA|BA.1.1|2022-03-17	99.6374737645487
EPI_ISL_11571840	BA.1.1	BA.1.1	BA.1.1_2	CA-SEARCH-80853|EPI_ISL_11571840|USA|BA.1.1|2022-01-09	99.4848311390956
EPI_ISL_11572565	BA.1	BA.1	BA.1_4	CA-SEARCH-81519|EPI_ISL_11572565|USA|BA.1|2022-01-14	99.4848311390956
EPI_ISL_11573181	BA.1.1	BA.1.1	BA.1.1_2	CA-SEARCH-81880|EPI_ISL_11573181|USA|BA.1.1|2022-01-20	99.4848311390956
EPI_ISL_11576713	BA.1.15	BA.1.15	BA.1.15	VA-CAV_VAS3N_00007550_01|EPI_ISL_11576713|USA|BA.1.15|2022-01	74.8330471284106
EPI_ISL_11576721	BA.1.1	BA.1.1	BA.1.1_3	VA-CAV_VAS3N_00007560_01|EPI_ISL_11576721|USA|BA.1.1|2022-01	87.1016981492082
EPI_ISL_11577159	BA.1.15	BA.1.15	BA.1.15	VA-CAV_VAS3N_00009034_01|EPI_ISL_11577159|USA|BA.1.15|2022-02	87.2352604464797
EPI_ISL_11578354	BA.1.1	BA.1.1	BA.1.1_2	CA-SEARCH-83409|EPI_ISL_11578354|USA|BA.1.1|2022-01-22	99.4848311390956
EPI_ISL_11580963	BA.1.1	BA.1.1	BA.1.1_2	08-087792-MB|EPI_ISL_11580963|Slovenia|BA.1.1|2022-02-25	96.9853081473001
EPI_ISL_11581810	BA.1	B.1.623	B.1.623	LS-NVRL-ecS22IRL00089138|EPI_ISL_11581810|Ireland|BA.1|2022-01-26	64.0526617057813
EPI_ISL_11582584	BA.2.9	BA.2	BA.2_1	GES-HMN-22032140707|EPI_ISL_11582584|France|BA.2.9|2022-03-07	87.1970997901164
EPI_ISL_11582750	BA.1.1	BA.1	BA.1_4	HDF-HMN-22032160214|EPI_ISL_11582750|France|BA.1.1|2022-03-07	95.5924441900401
EPI_ISL_11583231	BA.2.3.2	BA.2	BA.2_1	BMH-310322-sample11|EPI_ISL_11583231|Vietnam|BA.2.3.2|2022-03-21	95.1726769700439
EPI_ISL_11583392	BA.1.15	BA.2	BA.2_1	LA-TUSOM-220329_S09|EPI_ISL_11583392|USA|BA.1.15|2022-03-22	80.9387521465369
EPI_ISL_11583417	BA.2	A	A_14	CHUNamur14098749|EPI_ISL_11583417|Belgium|BA.2|2022-03-25	98.7406983400114
EPI_ISL_11585232	BA.2.9	BA.2	BA.2_1	EDB50147|EPI_ISL_11585232|United Kingdom|BA.2.9|2022-03-07	94.0850982636901
EPI_ISL_11588498	BA.1.1	BA.1.1	BA.1.1_2	166435|EPI_ISL_11588498|Slovenia|BA.1.1|2022-02-18	99.6374737645487
EPI_ISL_11588547	BA.1.1	BA.1.1	BA.1.1_3	166633|EPI_ISL_11588547|Slovenia|BA.1.1|2022-02-18	99.6374737645487
EPI_ISL_11588716	BA.2	BA.2.12	BA.2.12	RJ-SMS-ICMR-INSACOG-TS-2467|EPI_ISL_11588716|India|BA.2|2022-01-03	96.508299942759
EPI_ISL_11589291	BA.2	BA.2	BA.2_1	BE-RKI-I-643388|EPI_ISL_11589291|Germany|BA.2|2022-03-03	95.1535966418622
EPI_ISL_11589475	BA.2	A	A_17	SH-RKI-I-643535|EPI_ISL_11589475|Germany|BA.2|2022-02-22	99.8091967181836
EPI_ISL_11591517	BA.2	BA.2	BA.2_1	LSPA-3C48386|EPI_ISL_11591517|United Kingdom|BA.2|2022-03-24	99.8091967181836
EPI_ISL_11592245	BA.1.1	BA.1.1	BA.1.1_2	NW-RKI-I-644341|EPI_ISL_11592245|Germany|BA.1.1|2022-03-11	99.5611524518222
EPI_ISL_11595262	BA.1.1	BA.1.1	BA.1.1_2	159092|EPI_ISL_11595262|Slovenia|BA.1.1|2022-02-08	99.6374737645487
EPI_ISL_11595531	BA.2	BA.2	BA.2_1	LSPA-3C37F86|EPI_ISL_11595531|United Kingdom|BA.2|2022-03-24	99.8091967181836
EPI_ISL_11596530	BA.2.18	BA.2.18	BA.2.18	QEUH-3C19E6F|EPI_ISL_11596530|United Kingdom|BA.2.18|2022-03-22	99.8091967181836
EPI_ISL_11597172	BA.1.1	BA.1.1	BA.1.1_2	BW-RKI-I-647900|EPI_ISL_11597172|Germany|BA.1.1|2022-02-21	99.6374737645487
EPI_ISL_11599366	BA.2.9	A	A_17	HH-RKI-I-648855|EPI_ISL_11599366|Germany|BA.2.9|2022-03-11	99.5802327800038
EPI_ISL_11600418	BA.2	BA.2	BA.2_1	NW-RKI-I-649271|EPI_ISL_11600418|Germany|BA.2|2022-03-03	95.1154359854989
EPI_ISL_11600634	BA.2.23	A	A_14	QEUH-3C29CF9|EPI_ISL_11600634|United Kingdom|BA.2.23|2022-03-23	99.8091967181836
EPI_ISL_11601235	BA.2	BA.2	BA.2_1	BY-RKI-I-649553|EPI_ISL_11601235|Germany|BA.2|2022-01-27	93.6844113718756
EPI_ISL_11601589	BA.2.1	BA.2	BA.2_1	LSPA-3C2B83F|EPI_ISL_11601589|United Kingdom|BA.2.1|2022-03-24	99.8091967181836
EPI_ISL_11602421	XR	A	A_14	PHWC-PJ88RY|EPI_ISL_11602421|United Kingdom|XR|2022-03-06	99.8091967181836
EPI_ISL_11603148	BA.2	BA.2	BA.2_1	QEUH-3C022D6|EPI_ISL_11603148|United Kingdom|BA.2|2022-03-22	99.8091967181836
EPI_ISL_11605555	BA.2	A	A_14	PHWC-PJE8U9|EPI_ISL_11605555|United Kingdom|BA.2|2022-03-07	99.8091967181836
EPI_ISL_11606005	BA.2	A	A_14	BW-RKI-I-650873|EPI_ISL_11606005|Germany|BA.2|2022-02-24	98.5117344018317
EPI_ISL_11609899	BA.2.9	A	A_17	HH-RKI-I-652182|EPI_ISL_11609899|Germany|BA.2.9|2022-03-13	99.2940278572791
EPI_ISL_11610101	BA.2	A	A_14	PHWC-PJJQUS|EPI_ISL_11610101|United Kingdom|BA.2|2022-03-11	99.8091967181836
EPI_ISL_11610327	BA.1.1.18	BA.1.1	BA.1.1_3	FL-BPHL-4411|EPI_ISL_11610327|USA|BA.1.1.18|2022-01-31	99.6374737645487
EPI_ISL_11610484	BA.2	BA.2	BA.2_1	NW-RKI-I-652701|EPI_ISL_11610484|Germany|BA.2|2022-03-02	99.732875405457
EPI_ISL_11612846	BA.2	A	A_17	SH-RKI-I-655238|EPI_ISL_11612846|Germany|BA.2|2022-03-07	99.8091967181836
EPI_ISL_11614032	BA.2	A	A_17	SH-RKI-I-656006|EPI_ISL_11614032|Germany|BA.2|2022-03-04	99.8091967181836
EPI_ISL_11614601	BA.2	BA.2	BA.2_1	NW-RKI-I-656561|EPI_ISL_11614601|Germany|BA.2|2022-03-14	95.325319595497
EPI_ISL_11615022	BA.1.1	BA.1.1	BA.1.1_1	NW-RKI-I-656930|EPI_ISL_11615022|Germany|BA.1.1|2022-03-07	99.4848311390956
EPI_ISL_11617482	BA.1.1	BA.1.1	BA.1.1_2	BY-RKI-I-660689|EPI_ISL_11617482|Germany|BA.1.1|2022-03-09	99.5802327800038
EPI_ISL_11617715	BA.2.5	BA.2	BA.2_1	SN-RKI-I-660938|EPI_ISL_11617715|Germany|BA.2.5|2022-03-08	99.7137950772753
EPI_ISL_11618571	BA.2	BA.2	BA.2_1	NI-RKI-I-662035|EPI_ISL_11618571|Germany|BA.2|2022-03-09	99.8091967181836
EPI_ISL_11619333	BA.2	A	A_14	BY-RKI-I-662698|EPI_ISL_11619333|Germany|BA.2|2022-03-10	99.8091967181836
EPI_ISL_11623446	BA.1.1.14	BA.1.1	BA.1.1_2	NS-NML-382300|EPI_ISL_11623446|Canada|BA.1.1.14|2022-01-05	79.6222095020034
EPI_ISL_11625435	BA.1.1.2	BA.1.1	BA.1.1_2	RIMD06819|EPI_ISL_11625435|Japan|BA.1.1.2|2022-01-25	99.6374737645487
EPI_ISL_11626773	BA.1.15	BA.1.15	BA.1.15	CO-CDPHE-2103033215|EPI_ISL_11626773|USA|BA.1.15|2021-12-22	99.6374737645487
EPI_ISL_11627826	BA.1.1	BA.1.1	BA.1.1_2	AMA-INS-15723|EPI_ISL_11627826|Peru|BA.1.1|2022-02-23	99.6374737645487
EPI_ISL_11628717	BA.1.1	BA.1.1	BA.1.1_2	NV-CDC-QDX34992974|EPI_ISL_11628717|USA|BA.1.1|2022-03-19	99.6374737645487
EPI_ISL_11629031	BA.2.3	A	A_14	NM-NMDOH-2022024372|EPI_ISL_11629031|USA|BA.2.3|2022-01-26	99.8091967181836
EPI_ISL_11629034	BA.1.1	BA.1.1	BA.1.1_2	NM-NMDOH-2022025779|EPI_ISL_11629034|USA|BA.1.1|2022-01-27	99.6374737645487
EPI_ISL_11630263	BA.2	A	A_14	VIC47003|EPI_ISL_11630263|Australia|BA.2|2022-03-13	99.3894294981874
EPI_ISL_11630469	BA.2.9	BA.2	BA.2_1	VIC47210|EPI_ISL_11630469|Australia|BA.2.9|2022-03-15	99.8091967181836
EPI_ISL_11630818	BA.2	A	A_14	VIC47405|EPI_ISL_11630818|Australia|BA.2|2022-03-17	99.8091967181836
EPI_ISL_11632739	BA.1.17	BA.1.15	BA.1.15	QLD0x00D825|EPI_ISL_11632739|Australia|BA.1.17|2022-03-05	99.6374737645487
EPI_ISL_11633467	BA.2	A	A_4	PAC-CERBAHC-03808189|EPI_ISL_11633467|France|BA.2|2022-03-21	99.8091967181836
EPI_ISL_11634741	BA.2.3.17	A	A_14	WA-PHL-017027|EPI_ISL_11634741|USA|BA.2.3.17|2022-03-18	96.2030146918527
EPI_ISL_11638955	XQ	A	A_14	LSPA-3C5821D|EPI_ISL_11638955|United Kingdom|XQ|2022-03-24	99.8091967181836
EPI_ISL_11638981	BA.2	A	A_17	BW-RKI-I-665908|EPI_ISL_11638981|Germany|BA.2|2022-03-14	99.0650639190994
